 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
        jday         mon         day          yr   name        type   objtyp      typ_no hyd_typ fraction              flo            sed           orgn           sedp            no3           solp           chla            nh3            no2           cbod            dox            san            sil            cla            sag            lag            grv           null
                                                                                                                     m^3/s           tons            kgN            kgP            kgN            kgP             kg            kgN            kgN             kg             kg           tons           tons           tons           tons           tons           tons           degc
         365          12          31        2005 rtu027          ru      sdc           5 tot  0.4579900       424.0109      9.3590899E-04  5.8878069E-03  3.3533222E-03  0.2348070      0.1179730      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.4162569E-03  1.0728595E-04  1.1094708E-04  2.6229478E-04  2.6045766E-04  0.0000000E+00   19.06064    
         365          12          31        2005 rtu027          ru      ru           84 tot  0.5420100       501.7974      1.1076061E-03  6.9679474E-03  3.9685024E-03  0.2778833      0.1396156      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.6760739E-03  1.2696796E-04  1.3130074E-04  3.1041360E-04  3.0823943E-04  0.0000000E+00   17.87155    
         365          12          31        2005 rtu027          ru      aqu           1 rhg   1.000000       51426.81      0.0000000E+00  0.0000000E+00  0.0000000E+00   202.0789      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.004064    
         365          12          31        2005 rtu028          ru      ru          203 tot   1.000000       153.3760      2.7822040E-07  1.4737454E-06  4.4212347E-06  0.6101872      1.4737454E-06  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7822040E-04  2.7822040E-04  2.7822040E-04  2.7822040E-04  2.7822040E-04  0.0000000E+00   4.959598    
         365          12          31        2005 rtu028          ru      aqu           1 rhg   1.000000       16954.49      0.0000000E+00  0.0000000E+00  0.0000000E+00   65.59615      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.012120    
         365          12          31        2005 rtu030          ru      ru          100 tot   1.000000       1273.235      2.0296533E-02  0.1168020      5.3517763E-02   3.014323      0.1748890      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.7642198E-02  5.4811040E-04  6.0447806E-04  3.7214633E-03  3.5520070E-03  0.0000000E+00   4.210004    
         365          12          31        2005 rtu030          ru      aqu           1 rhg   1.000000       311.6399      0.0000000E+00  0.0000000E+00  0.0000000E+00   3.479877      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   2.011408    
         365          12          31        2005 rtu032          ru      ru           40 tot  0.4483300       1437.669      0.1377979      0.7487261      0.3604479       3.787942      0.2675387      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1079045      3.0746192E-03  3.2667068E-03  3.1573676E-02  2.9538125E-02  0.0000000E+00   20.84115    
         365          12          31        2005 rtu032          ru      ru          260 tot  0.5516700       1769.052      0.1695603      0.9213074      0.4435312       4.661063      0.3292063      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.1327765      3.7833182E-03  4.0196823E-03  3.8851406E-02  3.6346659E-02  0.0000000E+00   20.76308    
         365          12          31        2005 rtu032          ru      aqu           1 rhg   1.000000       1152.644      0.0000000E+00  0.0000000E+00  0.0000000E+00   57.75700      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.306585    
         365          12          31        2005 rtu033          ru      ru           82 tot   1.000000       6.985086      2.7350077E-07  1.0745848E-07  3.2237548E-07  5.6388676E-02  1.0745848E-07  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.7350089E-04  2.7350089E-04  2.7350089E-04  2.7350089E-04  2.7350089E-04  0.0000000E+00   6553.732    
         365          12          31        2005 rtu033          ru      aqu           1 rhg   1.000000       1129.133      0.0000000E+00  0.0000000E+00  0.0000000E+00   11.28535      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.189040    
         365          12          31        2005 rtu034          ru      ru           41 tot   1.000000       319.8698      2.1020437E-02  0.1122784      5.2968986E-02  0.1140910      5.0177269E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  1.8547697E-02  5.7666074E-04  6.3658733E-04  3.9199241E-03  3.7417719E-03  0.0000000E+00   1671.116    
         365          12          31        2005 rtu034          ru      aqu           1 rhg   1.000000       1345.286      0.0000000E+00  0.0000000E+00  0.0000000E+00   7.731866      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.094199    
         365          12          31        2005 rtu035          ru      ru          171 tot   1.000000       369.8126      2.6017550E-02  9.3362920E-02  5.5441491E-02  0.2397722      5.7558451E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.3828104E-02  5.2060955E-04  5.8668398E-04  3.2904230E-03  3.2577217E-03  0.0000000E+00   65.70630    
         365          12          31        2005 rtu035          ru      aqu           1 rhg   1.000000       2545.809      0.0000000E+00  0.0000000E+00  0.0000000E+00   12.88381      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.054803    
         365          12          31        2005 rtu036          ru      ru           82 tot  0.4575200       171.8242      2.3488966E-03  8.4099853E-03  4.9939393E-03  8.1786081E-02  2.8029274E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.2475310E-03  1.5423622E-04  1.5998550E-04  4.0059505E-04  3.9766676E-04  0.0000000E+00   1137.983    
         365          12          31        2005 rtu036          ru      ru           93 tot  0.5424800       203.7314      2.7850796E-03  9.9716922E-03  5.9212986E-03  9.6973494E-02  3.3234216E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  2.6648901E-03  1.8287744E-04  1.8969436E-04  4.7498429E-04  4.7151226E-04  0.0000000E+00   1127.423    
         365          12          31        2005 rtu036          ru      aqu           1 rhg   1.000000       2716.588      0.0000000E+00  0.0000000E+00  0.0000000E+00   13.77026      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.051558    
         365          12          31        2005 rtu037          ru      ru           92 tot  0.3382400       86.76418      4.2234515E-03  2.2302633E-02  1.0524739E-02  2.6350547E-02  1.3366140E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.7197822E-03  1.5139795E-04  1.6328970E-04  8.1499503E-04  7.7961670E-04  0.0000000E+00   147004.9    
         365          12          31        2005 rtu037          ru      ru          223 tot  0.6617600       169.7524      8.2631009E-03  4.3634664E-02  2.0591445E-02  5.1554326E-02  2.6150595E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  7.2776843E-03  2.9620720E-04  3.1947318E-04  1.5945213E-03  1.5253045E-03  0.0000000E+00   135626.0    
         365          12          31        2005 rtu037          ru      aqu           1 rhg   1.000000       1200.757      0.0000000E+00  0.0000000E+00  0.0000000E+00   8.073371      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.177803    
         365          12          31        2005 rtu038          ru      sdc           1 tot  0.5590100       138.6730      5.0377301E-03  1.7846597E-02  1.0597585E-02  7.4879870E-02  2.0969918E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  4.6495786E-03  2.0018809E-04  2.1262185E-04  7.2849123E-04  7.2225177E-04  0.0000000E+00   344.2939    
         365          12          31        2005 rtu038          ru      ru          221 tot  0.4409900       109.3959      3.9741471E-03  1.4078762E-02  8.3601866E-03  5.9070986E-02  1.6542682E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.6679432E-03  1.5792376E-04  1.6773248E-04  5.7468982E-04  5.6976761E-04  0.0000000E+00   350.9889    
         365          12          31        2005 rtu038          ru      aqu           1 rhg   1.000000       1748.246      0.0000000E+00  0.0000000E+00  0.0000000E+00   8.854655      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.080091    
         365          12          31        2005 rtu039          ru      ru           96 tot   1.000000       396.7347      3.3230569E-02  0.1191566      7.0762470E-02  0.2702966      6.1808106E-02  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.0346222E-02  5.8817095E-04  6.7255722E-04  4.1247196E-03  4.0829657E-03  0.0000000E+00   46.62139    
         365          12          31        2005 rtu039          ru      aqu           1 rhg   1.000000       2709.161      0.0000000E+00  0.0000000E+00  0.0000000E+00   13.70606      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.051458    
         365          12          31        2005 rtu042          ru      ru           92 tot  0.4474700       1116.209      5.8084410E-02  0.3092540      0.1455553      0.3280842      0.2068812      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  5.0522406E-02  9.6312066E-04  1.1277604E-03  1.0178986E-02  9.6877282E-03  0.0000000E+00   18940.88    
         365          12          31        2005 rtu042          ru      ru          116 tot  0.5525300       1378.281      7.1721852E-02  0.3818628      0.1797298      0.4051140      0.2554542      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  6.2384371E-02  1.1892486E-03  1.3925435E-03  1.2568879E-02  1.1962279E-02  0.0000000E+00   18904.05    
         365          12          31        2005 rtu042          ru      aqu           1 rhg   1.000000       4071.772      0.0000000E+00  0.0000000E+00  0.0000000E+00   60.68231      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00   1.045383    
         365          12          31        2005 rtu045          ru      ru           73 tot   1.000000       3307.726      9.5380296E-04  1.8464156E-07  5.5392474E-07   6.183347      0.8680798      0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  0.0000000E+00  3.1066663E-04  3.1066663E-04  3.1066663E-04  3.1066663E-04  3.1066663E-04  0.0000000E+00   1.049893    
