FID,Shape *,id,type,y_1991,y_1992,y_1993,y_1994,y_1995,y_1996,y_1997,y_1998,y_1999,y_2000,y_2001,y_2002,y_2003,y_2004,y_2005,y_2006,y_2007,y_2008,y_2009,y_2010,y_2011,y_2012,y_2013,y_2014,y_2015,y_2016,y_2017,y_2018,y_2019,y_2020,y_2021,y_2022,y_2023,y_2024,y_2025,drainage
111,Polygon,112,agrl253,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,alfa,canp,pota,pota,trit,0
112,Polygon,113,agrl258,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,alfa,canp,trit,alfa,trit,0
113,Polygon,114,agrl270,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,alfa,csil,csil,alfa,fpea,0
114,Polygon,115,agrl301,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,alfa,oats,barl,barl,rye,0
115,Polygon,116,agrl342,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,alfa,oats,trit,alfa,rye,0
116,Polygon,117,agrl343,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,0
117,Polygon,118,agrl344,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,alfa,oats,trit,buck,rye,0
118,Polygon,119,agrl382,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,alfa,rye,barl,canp,fpea,0
119,Polygon,120,agrl386,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,alfa,rye,buck,alfa,rye,0
120,Polygon,121,agrl415,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,alfa,trit,alfa,pota,pota,0
121,Polygon,122,agrl430,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,alfa,trit,pota,wwht,canp,0
122,Polygon,123,agrl493,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,barl,alfa,trit,pota,oats,0
123,Polygon,124,agrl567,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,barl,barl,canp,trit,pota,0
124,Polygon,125,agrl580,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,barl,barl,oats,fpea,barl,0
125,Polygon,126,agrl713,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,barl,oats,alfa,rye,alfa,0
126,Polygon,127,agrl727,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,barl,oats,barl,oats,alfa,0
127,Polygon,128,agrl732,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,barl,oats,barl,oats,wwht,0
128,Polygon,129,agrl750,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,barl,oats,oats,barl,oats,0
129,Polygon,130,agrl762,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,barl,oats,oats,oats,rye,0
