date,value
2008-09-08,0.016
2008-09-09,0.016
2008-09-10,0.016
2008-09-11,0.016
2008-09-12,0.0286
2008-09-13,0.205742857
2008-09-14,0.071090909
2008-09-15,0.084666667
2008-09-16,0.1048
2008-09-17,0.048
2008-09-18,0.036666667
2008-09-19,0.035
2008-09-20,0.033333333
2008-09-21,0.03
2008-09-22,0.03
2008-09-23,0.03
2008-09-24,0.03
2008-09-25,0.028666667
2008-09-26,0.0302
2008-09-27,0.035
2008-09-28,0.035
2008-09-29,0.035
2008-09-30,0.035
2008-10-01,0.033333333
2008-10-02,0.03
2008-10-03,0.03
2008-10-04,0.034
2008-10-05,0.043
2008-10-06,0.038333333
2008-10-07,0.035
2008-10-08,0.033333333
2008-10-09,0.03
2008-10-10,0.03
2008-10-11,0.03
2008-10-12,0.028666667
2008-10-13,0.026
2008-10-14,0.026
2008-10-15,0.026
2008-10-16,0.026
2008-10-17,0.026
2008-10-18,0.027333333
2008-10-19,0.037
2008-10-20,0.033333333
2008-10-21,0.03
2008-10-22,0.03
2008-10-23,0.03
2008-10-24,0.03
2008-10-25,0.03
2008-10-26,0.03
2008-10-27,0.03
2008-10-28,0.03
2008-10-29,0.031666667
2008-10-30,0.036111111
2008-10-31,0.04
2008-11-01,0.036666667
2008-11-02,0.039
2008-11-03,0.04
2008-11-04,0.035
2008-11-05,0.035
2008-11-06,0.035
2008-11-07,0.035
2008-11-08,0.067714286
2008-11-09,0.0863
2008-11-10,0.0525
2008-11-11,0.043333333
2008-11-12,0.04
2008-11-13,0.038333333
2008-11-14,0.035
2008-11-15,0.035
2008-11-16,0.035
2008-11-17,0.035
2008-11-18,0.035
2008-11-19,0.035
2008-11-20,0.035
2008-11-21,0.035
2008-11-22,0.035
2008-11-23,0.035
2008-11-24,0.035
2008-11-25,0.035
2008-11-26,0.035
2008-11-27,0.035
2008-11-28,0.035
2008-11-29,0.035
2008-11-30,0.035
2008-12-01,0.035
2008-12-02,0.059
2008-12-03,0.055
2008-12-04,0.055
2008-12-05,0.05
2008-12-06,0.045
2008-12-07,0.045
2008-12-08,0.045
2008-12-09,0.045
2008-12-10,0.045
2008-12-11,0.045
2008-12-12,0.045
2008-12-13,0.212333333
2008-12-14,0.209
2008-12-15,0.105
2008-12-16,0.082
2008-12-17,0.162
2008-12-18,1.092
2008-12-19,1.493333333
2008-12-20,0.678666667
2008-12-21,0.388
2008-12-22,0.361
2008-12-23,0.334
2008-12-24,0.313
2008-12-25,0.291
2008-12-26,0.248
2008-12-27,0.209
2008-12-28,0.191
2008-12-29,0.174
2008-12-30,0.156
2008-12-31,0.138
2009-01-01,0.126
2009-01-02,0.113
2009-01-03,0.076
2009-01-04,0.055
2009-01-05,0.04
2009-01-06,0.05675
2009-01-07,0.04875
2009-01-08,0.038333333
2009-01-09,0.04775
2009-01-10,0.062333333
2009-01-11,0.055
2009-01-12,0.051666667
2009-01-13,0.045
2009-01-14,0.045
2009-01-15,0.043333333
2009-01-16,0.04
2009-01-17,0.04
2009-01-18,0.037407407
2009-01-19,0.035
2009-01-20,0.095538462
2009-01-21,0.202725
2009-01-22,2.081384615
2009-01-23,0.762884615
2009-01-24,0.473744186
2009-01-25,0.639146341
2009-01-26,0.674854167
2009-01-27,1.198428571
2009-01-28,2.752931034
2009-01-29,2.938928571
2009-01-30,1.574642857
2009-01-31,0.906666667
2009-02-01,0.554475
2009-02-02,0.375969697
2009-02-03,1.137074074
2009-02-04,2.976842105
2009-02-05,3.118571429
2009-02-06,4.502631579
2009-02-07,3.09078125
2009-02-08,5.547419355
2009-02-09,5.228709677
2009-02-10,1.375102041
2009-02-11,0.773434783
2009-02-12,0.45027027
2009-02-13,0.300705882
2009-02-14,0.223419355
2009-02-15,0.169413793
2009-02-16,0.1428
2009-02-17,0.126
2009-02-18,0.098913043
2009-02-19,0.093380952
2009-02-20,0.0754
2009-02-21,0.076
2009-02-22,0.076
2009-02-23,0.08
2009-02-24,0.088
2009-02-25,0.088
2009-02-26,0.088
2009-02-27,0.088
2009-02-28,0.088
2009-03-01,0.088
2009-03-02,0.088
2009-03-03,0.08
2009-03-04,0.082
2009-03-05,0.163117647
2009-03-06,1.733921053
2009-03-07,1.19785
2009-03-08,0.525318182
2009-03-09,0.3025
2009-03-10,0.219714286
2009-03-11,0.1738
2009-03-12,0.1392
2009-03-13,0.121666667
2009-03-14,0.105
2009-03-15,0.0945
2009-03-16,0.084
2009-03-17,0.076
2009-03-18,0.069333333
2009-03-19,0.066
2009-03-20,0.066
2009-03-21,0.066
2009-03-22,0.066
2009-03-23,0.066
2009-03-24,0.066
2009-03-25,0.062333333
2009-03-26,0.055
2009-03-27,0.055
2009-03-28,0.051666667
2009-03-29,0.083083333
2009-03-30,2.839131579
2009-03-31,1.156631579
2009-04-01,0.563928571
2009-04-02,0.369307692
2009-04-03,0.251111111
2009-04-04,0.19125
2009-04-05,0.153
2009-04-06,0.12275
2009-04-07,0.109
2009-04-08,0.0882
2009-04-09,0.076
2009-04-10,0.069333333
2009-04-11,0.066
2009-04-12,0.058666667
2009-04-13,0.055
2009-04-14,0.051666667
2009-04-15,0.045
2009-04-16,0.045
2009-04-17,0.045
2009-04-18,0.0596
2009-04-19,0.08
2009-04-20,0.0982
2009-04-21,0.113
2009-04-22,0.109
2009-04-23,0.120466667
2009-04-24,0.178714286
2009-04-25,0.133571429
2009-04-26,0.109
2009-04-27,0.096666667
2009-04-28,0.088
2009-04-29,0.1008
2009-04-30,0.156153846
2009-05-01,0.1948
2009-05-02,0.140875
2009-05-03,0.1032
2009-05-04,0.088
2009-05-05,0.084
2009-05-06,0.076
2009-05-07,0.072666667
2009-05-08,0.066
2009-05-09,0.0574
2009-05-10,0.043333333
2009-05-11,0.0375
2009-05-12,0.036666667
2009-05-13,0.0612
2009-05-14,0.092333333
2009-05-15,0.0908
2009-05-16,0.0658
2009-05-17,0.055
2009-05-18,0.051666667
2009-05-19,0.043333333
2009-05-20,0.089578947
2009-05-21,0.046
2009-05-22,0.038333333
2009-05-23,0.035
2009-05-24,0.035
2009-05-25,0.025714286
2009-05-26,0.016
2009-05-27,0.012666667
2009-05-28,0.021
2009-05-29,0.022
2009-05-30,0.016
2009-05-31,0.021
2009-06-01,0.024333333
2009-06-02,0.017666667
2009-06-03,0.016
2009-06-04,0.012666667
2009-06-05,0.011
2009-06-06,0.011
2009-06-07,0.011
2009-06-08,0.011
2009-06-09,0.011
2009-06-10,0.010333333
2009-06-11,0.009
2009-06-12,0.009
2009-06-13,0.009
2009-06-14,0.009
2009-06-15,0.009
2009-06-16,0.009
2009-06-17,0.012833333
2009-06-18,0.019333333
2009-06-19,0.014333333
2009-06-20,0.009666667
2009-06-21,0.01375
2009-06-22,0.019333333
2009-06-23,0.059826087
2009-06-24,0.171375
2009-06-25,0.111368421
2009-06-26,0.147291667
2009-06-27,0.191666667
2009-06-28,0.273818182
2009-06-29,0.692518519
2009-06-30,0.646128205
2009-07-01,0.162882353
2009-07-02,0.552282051
2009-07-03,0.114647059
2009-07-04,0.06575
2009-07-05,0.289472222
2009-07-06,0.472605263
2009-07-07,0.141846154
2009-07-08,0.199714286
2009-07-09,0.247
2009-07-10,0.213333333
2009-07-11,0.262727273
2009-07-12,0.113615385
2009-07-13,0.061285714
2009-07-14,0.041
2009-07-15,0.033333333
2009-07-16,0.028666667
2009-07-17,0.026
2009-07-18,0.027333333
2009-07-19,0.0485
2009-07-20,0.037857143
2009-07-21,0.028
2009-07-22,0.026
2009-07-23,0.024333333
2009-07-24,0.021
2009-07-25,0.028777778
2009-07-26,0.028666667
2009-07-27,0.026
2009-07-28,0.024333333
2009-07-29,0.021
2009-07-30,0.021
2009-07-31,0.021
2009-08-01,0.017666667
2009-08-02,0.016
2009-08-03,0.016
2009-08-04,1.185090909
2009-08-05,1.066081081
2009-08-06,0.188846154
2009-08-07,0.065888889
2009-08-08,0.04
2009-08-09,0.033333333
2009-08-10,0.0315
2009-08-11,1.6462
2009-08-12,0.224153846
2009-08-13,0.086454545
2009-08-14,2.30755814
2009-08-15,0.642309524
2009-08-16,0.185789474
2009-08-17,0.09
2009-08-18,0.0574
2009-08-19,0.041
2009-08-20,0.035
2009-08-21,0.033333333
2009-08-22,0.03
2009-08-23,0.046
2009-08-24,0.045
2009-08-25,0.033333333
2009-08-26,0.03
2009-08-27,0.028666667
2009-08-28,0.026
2009-08-29,0.026
2009-08-30,0.026
2009-08-31,0.026
2009-09-01,0.026
2009-09-02,0.022666667
2009-09-03,0.021
2009-09-04,0.022666667
2009-09-05,0.071416667
2009-09-06,0.084526316
2009-09-07,0.035
2009-09-08,0.028666667
2009-09-09,0.026
2009-09-10,0.026
2009-09-11,0.026
2009-09-12,0.026
2009-09-13,0.026
2009-09-14,0.026
2009-09-15,0.026
2009-09-16,0.026
2009-09-17,0.0373
2009-09-18,0.0426
2009-09-19,0.027333333
2009-09-20,0.026
2009-09-21,0.026
2009-09-22,0.026
2009-09-23,0.022666667
2009-09-24,0.021
2009-09-25,0.021
2009-09-26,0.021
2009-09-27,0.017666667
2009-09-28,0.016
2009-09-29,0.016
2009-09-30,0.016
2009-10-01,0.016
2009-10-02,0.017666667
2009-10-03,0.024333333
2009-10-04,0.026
2009-10-05,0.026
2009-10-06,0.022666667
2009-10-07,0.021
2009-10-08,0.021
2009-10-09,0.019333333
2009-10-10,0.016
2009-10-11,0.031909091
2009-10-12,0.093428571
2009-10-13,0.098066667
