 Mini_CREATE               SWAT+ Jan 11 2024        MODULAR Rev 2024.61.0                                 
   jday   mon   day    yr   unit  gis_id  name                    flo_in          geo_bf         flo_out           peakr         sed_in        sed_out         washld          bedld            dep        deg_btm       deg_bank         hc_sed          width          depth          slope        deg_btm       deg_bank         hc_len      flo_in_mm       aqu_in_mm      flo_out_mm        sed_stor 
                                                                   m^3/s           m^3/s           m^3/s           m^3/s           tons           tons           tons           tons           tons           tons           tons           tons              m              m            m/m              m              m              m             mm              mm              mm            tons 
   365    12    31  2002       3       0  cha3                 0.1423E+00     0.4982E-01     0.1423E+00     0.6334E+00     0.2838E+00     0.3686E+01     0.1419E+00     0.0000E+00     0.1418E+00     0.5934E-01     0.3485E+01     0.0000E+00     0.1292E+01     0.2256E+00     0.5260E-02     0.1615E-02     0.4193E+00     0.0000E+00     0.3640E+05     0.1274E+05     0.3640E+05     0.2536E-02
   365    12    31  2002       4       0  cha4                 0.1052E+00     0.9566E-01     0.1052E+00     0.4434E+00     0.4019E+01     0.2190E+01     0.2010E+01     0.0000E+00     0.1990E+01     0.0000E+00     0.1801E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1888E-01     0.0000E+00     0.1780E+05     0.1618E+05     0.1780E+05     0.9616E-03
   365    12    31  2002       5       0  cha5                 0.3624E+00     0.8914E-01     0.3624E+00     0.1150E+01     0.8149E+01     0.5214E+01     0.4075E+01     0.0000E+00     0.4043E+01     0.0000E+00     0.1139E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.5676E-01     0.0000E+00     0.1987E+05     0.4888E+04     0.1987E+05     0.3132E-02
   365    12    31  2002       6       0  cha6                 0.4137E+00     0.2635E-01     0.4137E+00     0.1107E+01     0.7332E+01     0.5120E+01     0.3666E+01     0.0000E+00     0.3056E+01     0.0000E+00     0.1454E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.5438E-01     0.0000E+00     0.1502E+05     0.9566E+03     0.1502E+05     0.1481E-02
   365    12    31  2003       1       0  cha1                 0.3879E-02     0.3567E-02     0.3859E-02     0.1677E-01     0.9545E-01     0.3210E+00     0.4773E-01     0.0000E+00     0.4135E-01     0.0000E+00     0.2733E+00     0.0000E+00     0.1405E+01     0.2021E+00     0.1220E-02     0.0000E+00     0.3264E-01     0.0000E+00     0.7823E+03     0.7195E+03     0.7783E+03     0.3462E-03
   365    12    31  2003       2       0  cha2                 0.2290E-01     0.1729E-01     0.2290E-01     0.1105E+00     0.5405E-06     0.1521E+00     0.2702E-06     0.0000E+00     0.1881E-06     0.0000E+00     0.1521E+00     0.0000E+00     0.8353E+00     0.1475E+00     0.3140E-02     0.0000E+00     0.4967E-01     0.0000E+00     0.2023E+05     0.1528E+05     0.2023E+05     0.6160E-04
   365    12    31  2003       3       0  cha3                 0.4052E-01     0.1692E-01     0.4051E-01     0.1804E+00     0.2665E-04     0.3968E+01     0.1332E-04     0.0000E+00     0.3171E-06     0.1648E-01     0.3952E+01     0.0000E+00     0.1292E+01     0.2261E+00     0.5260E-02     0.4487E-03     0.4754E+00     0.0000E+00     0.1036E+05     0.4327E+04     0.1036E+05     0.2863E-02
   365    12    31  2003       4       0  cha4                 0.3542E-01     0.3417E-01     0.3542E-01     0.1493E+00     0.1014E+01     0.6079E+00     0.5069E+00     0.0000E+00     0.5022E+00     0.0000E+00     0.1010E+00     0.0000E+00     0.1495E+01     0.2098E+00     0.1700E-02     0.0000E+00     0.1060E-01     0.0000E+00     0.5993E+04     0.5780E+04     0.5993E+04     0.5239E-03
   365    12    31  2003       5       0  cha5                 0.1334E+00     0.4603E-01     0.1334E+00     0.4235E+00     0.4899E+01     0.4804E+01     0.2449E+01     0.0000E+00     0.2386E+01     0.0000E+00     0.2355E+01     0.0000E+00     0.2222E+01     0.2667E+00     0.1020E-02     0.0000E+00     0.1173E+00     0.0000E+00     0.7314E+04     0.2524E+04     0.7314E+04     0.5442E-02
   365    12    31  2003       6       0  cha6                 0.1510E+00     0.1364E-01     0.1510E+00     0.4040E+00     0.6129E+01     0.5755E+01     0.3065E+01     0.0000E+00     0.1881E+01     0.0000E+00     0.2691E+01     0.0000E+00     0.2569E+01     0.2911E+00     0.8800E-03     0.0000E+00     0.1007E+00     0.0000E+00     0.5482E+04     0.4950E+03     0.5482E+04     0.2631E-02
